name,station,time,id,nedbor
Oslo - Blindern,SN18700,31.10.2010,303,"4,4"
Oslo - Blindern,SN18700,01.11.2010,304,0
Oslo - Blindern,SN18700,02.11.2010,305,0
Oslo - Blindern,SN18700,03.11.2010,306,"7,5"
Oslo - Blindern,SN18700,04.11.2010,307,0
Oslo - Blindern,SN18700,05.11.2010,308,0
Oslo - Blindern,SN18700,06.11.2010,309,0
Oslo - Blindern,SN18700,07.11.2010,310,0
Oslo - Blindern,SN18700,08.11.2010,311,0
Oslo - Blindern,SN18700,09.11.2010,312,0
Oslo - Blindern,SN18700,10.11.2010,313,"1,5"
Oslo - Blindern,SN18700,11.11.2010,314,0
Oslo - Blindern,SN18700,12.11.2010,315,"2,5"
Oslo - Blindern,SN18700,13.11.2010,316,"2,3"
Oslo - Blindern,SN18700,14.11.2010,317,"2,4"
Oslo - Blindern,SN18700,15.11.2010,318,3
Oslo - Blindern,SN18700,16.11.2010,319,0
Oslo - Blindern,SN18700,17.11.2010,320,0
Oslo - Blindern,SN18700,18.11.2010,321,0
Oslo - Blindern,SN18700,19.11.2010,322,0
Oslo - Blindern,SN18700,20.11.2010,323,0
Oslo - Blindern,SN18700,21.11.2010,324,"0,6"
Oslo - Blindern,SN18700,22.11.2010,325,0
Oslo - Blindern,SN18700,23.11.2010,326,0
Oslo - Blindern,SN18700,24.11.2010,327,0
Oslo - Blindern,SN18700,25.11.2010,328,0
Oslo - Blindern,SN18700,26.11.2010,329,0
Oslo - Blindern,SN18700,27.11.2010,330,0
Oslo - Blindern,SN18700,28.11.2010,331,"0,5"
Oslo - Blindern,SN18700,29.11.2010,332,"3,6"
Oslo - Blindern,SN18700,30.11.2010,333,0
Oslo - Blindern,SN18700,01.12.2010,334,0
Oslo - Blindern,SN18700,02.12.2010,335,0
Oslo - Blindern,SN18700,03.12.2010,336,0
Oslo - Blindern,SN18700,04.12.2010,337,0
Oslo - Blindern,SN18700,05.12.2010,338,"4,2"
Oslo - Blindern,SN18700,06.12.2010,339,"1,3"
